,words,words_label,intent_label
54, آژانس از اینجا تا  تهرانپارس  چقدر میشه ,O O B-Departure O B-Destination O O ,Catch_a_Cab
55,میخوام برای ناهار  چهار تا پیتزا از  اکبرجوجه سفارش بدم ,O O O B-Number I-Number B-Food O B-Restaurant O O ,Order_Food
56, پرفروش ترین آهنگ  ابی را پخش کن ,O O O B-Artist O O O ,Play_Music
57, پیش بینی هوا شناسی  طوفانی است ,O O O O O O ,Get_Weather
58,تا  محل کارم میخوام تاکسی بگیرم ,O B-Destination I-Destination O O O ,Catch_a_Cab
59,لطفا از  نزدیک ترین رستوران برای  میان وعده  یه دونه  ماکارونی سفارش بده ,O O B-Restaurant I-Restaurant I-Restaurant O O O B-Number I-Number B-Food O O ,Order_Food
60,برای ناهار از  ساندویچ آیدا  چهار تا  کباب کوبیده سفارش بده ,O O O B-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
61, یک عدد  چلوکباب از  ساندویچ آیدا  چنده ,B-Number I-Number B-Food O B-Restaurant I-Restaurant O ,Order_Food
62,میخواهم آهنگی  زیبا گوش کنم ,O O O O O ,Play_Music
63,من میخواهم به  یک  موسیقی از  فریدون فرخزاد گوش کنم ,O O O O O O B-Artist I-Artist O O ,Play_Music
64, پیش بینی هوا شناسی  چه طوری است ,O O O O O O O ,Get_Weather
65, قیمت  چهار تا  جوجه کباب از  اژدر زاپاتا  چند میشه ,O B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant O O ,Order_Food
66,میخوام  یه دونه  موسیقی  پرفروش از  گروه بیتلز بشنوم ,O O O O O O B-Artist I-Artist O ,Play_Music
67,تا بازار تهران میخوام تاکسی بگیرم ,O B-Destination I-Destination O O O ,Catch_a_Cab
68,میخوام یه  چیز  پرفروش از  گروه بیتلز بشنوم ,O O O O O B-Artist I-Artist O ,Play_Music
69, یه دونه  ترانه  پرطرفدار پخش کن ,O O O O O O ,Play_Music
70, پیش بینی هوا شناسی  ژوهانسبورگ  شنبه قبل  چی بود ,O O O O B-Location B-Date I-Date O O ,Get_Weather
71,یک  ماشین خبر کن من رو ببره  پل خواجو ,O O O O O O O B-Destination I-Destination ,Catch_a_Cab
72, هوا چطوره ,O O ,Get_Weather
73, اسنپ از  دانشگاه علم و صنعت تا  دانشگاه علم و صنعت  چقدر است ,O O B-Departure I-Departure I-Departure I-Departure O B-Destination I-Destination I-Destination I-Destination O O ,Catch_a_Cab
74,من برای  شام میخوام  یک عدد  پیتزای مخصوص بخورم از  رستوران بیست ,O O O O B-Number I-Number B-Food I-Food O O B-Restaurant I-Restaurant ,Order_Food
75, برام  یه عدد تاکسی بگیر تا  موزه ملی ,O O O O O O B-Destination I-Destination ,Catch_a_Cab
76,لطفا برای  شام  چهار تا  پیتزای سبزیجات سفارش بده ,O O O B-Number I-Number B-Food I-Food O O ,Order_Food
77, برام یک  اسنپ بگیر تا  سهروردی ,O O O O O B-Destination ,Catch_a_Cab
78, همین حالا در  ساری  پیش بینی آب و هوا چطوره ,B-Date I-Date O B-Location O O O O O O ,Get_Weather
79,آهنگی از بهترین آلبوم  کامران و هومن پخش کن ,O O O O B-Artist I-Artist I-Artist O O ,Play_Music
80,امروز  هوا چطوره ,B-Date O O ,Get_Weather
81,میخوام برای ناهار  سه تا  کباب برگ از  رستوران سیب سفارش بدم ,O O O B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant O O ,Order_Food
82,میخوام  یک  چیز  آرام از  گوگوش بشنوم ,O O O O O B-Artist O ,Play_Music
83,لطفا  یه دونه  تپسی بگیر من رو ببره  فلکه گاز ,O O O O O O O O B-Destination I-Destination ,Catch_a_Cab
84, پسفردا  درجه دما در  تبریز  چقدره ,B-Date O O O B-Location O ,Get_Weather
85,میشه  یه دونه  ترانه از  ابی بذاری ,O O O O O B-Artist O ,Play_Music
86,یه آلبوم  ترانه  محبوب پخش کن ,O O O O O O ,Play_Music
87, پیش بینی وضع هوا  دمشق  پریروز  چی بود ,O O O O B-Location B-Date O O ,Get_Weather
88,تا  دانشگاه تهران میخوام  تپسی بگیرم ,O B-Destination I-Destination O O O ,Catch_a_Cab
89, فردا  توکیو  پیش بینی آب و هوا  چی است ,B-Date B-Location O O O O O O O ,Get_Weather
90,برای من  یه  آژانس بگیر تا  خونه ,O O O O O O B-Destination ,Catch_a_Cab
91, پرطرفدارترین  ترانه  یاس رو بذار ,O O B-Artist O O ,Play_Music
92,لطفا برای  میان وعده یه  چلوکباب سلطانی سفارش بده ,O O O O B-Number B-Food I-Food O O ,Order_Food
93,میتونی  یه دونه آهنگ از  گروه بیتلز پخش کنی ,O O O O O B-Artist I-Artist O O ,Play_Music
94, شنبه بعد در  تبریز  پیش بینی آب و هوا چطوره ,B-Date I-Date O B-Location O O O O O O ,Get_Weather
95,یک  آژانس خبر کن من رو ببره  خوابگاه ,O O O O O O O B-Destination ,Catch_a_Cab
96,لطفا  یه دونه  آژانس بگیر من رو ببره  مدرسه ,O O O O O O O O B-Destination ,Catch_a_Cab
97,میخوام  یه دونه  ترانه از  یاس بشنوم ,O O O O O B-Artist O ,Play_Music
98,از  نزدیک ترین کافه یه  پیتزای پپرونی سفارش بده ,O B-Restaurant I-Restaurant I-Restaurant B-Number B-Food I-Food O O ,Order_Food
99, یک  چیز شاد پخش کن ,O O O O O ,Play_Music
100,دیروز در  ابوظبی  هوا  چگونه بود ,B-Date O B-Location O O O ,Get_Weather
101,میتونی برای  میان وعده  یه دونه  چلوکباب سلطانی سفارش بدی ,O O O O B-Number I-Number B-Food I-Food O O ,Order_Food
102,آب و هوا چطوره ,O O O O ,Get_Weather
103,من  یک آهنگ  محبوب از  فریدون فرخزاد میخوام گوش بدم ,O O O O O B-Artist I-Artist O O O ,Play_Music
104,هزینه  چهار تا  چلوکباب از  رستوران بیست  چقدر است ,O B-Number I-Number B-Food O B-Restaurant I-Restaurant O O ,Order_Food
105,لطفا یه  موسیقی از  تیلور سویفت پخش کن ,O O O O B-Artist I-Artist O O ,Play_Music
106, کرایه  تپسی از  فلکه گاز تا  حرم امام رضا  چند تومان است ,O O O B-Departure I-Departure O B-Destination I-Destination I-Destination O O O ,Catch_a_Cab
107,میتونی  جدیدترین  موسیقی  کامران و هومن رو پخش کنی ,O O O B-Artist I-Artist I-Artist O O O ,Play_Music
108, پیش بینی آب و هوا  برلین را به من بگو ,O O O O O B-Location O O O O ,Get_Weather
109,میشه برام  یک  موسیقی از  ریحانا پخش کنی ,O O O O O B-Artist O O ,Play_Music
110,میتونی برام  یک عدد تاکسی بگیری تا  دانشگاه شریف ,O O O O O O O B-Destination I-Destination ,Catch_a_Cab
111, دمای هوا در  استانبول چند است ,O O O B-Location O O ,Get_Weather
112, دمای در  سن پترزبورگ  چند درجه فارنهایت است ,O O B-Location I-Location O O O O ,Get_Weather
113, پیش بینی هوا شناسی  میلان را به من بگو ,O O O O B-Location O O O O ,Get_Weather
114, پیش بینی وضع هوا  کرج  بارانی است ,O O O O B-Location O O ,Get_Weather
115,لطفا  موسیقی ای از  تیلور سویفت پخش کن ,O O O O B-Artist I-Artist O O ,Play_Music
116, هوا  چه طوری است ,O O O O ,Get_Weather
117,آب و هوا  قاهره  طوفانی است ,O O O B-Location O O ,Get_Weather
118, ترانه ای از  غمگین ترین آلبوم  معین پخش کن ,O O O O O O B-Artist O O ,Play_Music
119,آب و هوا  مسکو  بارانی است ,O O O B-Location O O ,Get_Weather
120,تا  مترو ولیعصر میخوام  تپسی بگیرم ,O B-Destination I-Destination O O O ,Catch_a_Cab
121, یکشنبه پیش در  سن پترزبورگ  پیش بینی وضع هوا چطور بود ,B-Date I-Date O B-Location I-Location O O O O O O ,Get_Weather
122, درجه هوا  پسفردا در  ریاض چند است ,O O B-Date O B-Location O O ,Get_Weather
123, کرایه اش  ماشین از  پل خواجو تا  دانشگاه  چند ریاله ,O O O O B-Departure I-Departure O B-Destination O O ,Catch_a_Cab
124, پیش بینی هوا شناسی  چیه ,O O O O O ,Get_Weather
125,لطفا برای  میان وعده  یک عدد  ماکارونی سفارش بده ,O O O O B-Number I-Number B-Food O O ,Order_Food
126,امروز  هوا  چه جوریه ,B-Date O O O ,Get_Weather
127,میشه از  نزدیک ترین کافه برای ناهار  یه دونه  پیتزای سبزیجات سفارش بدی ,O O B-Restaurant I-Restaurant I-Restaurant O O B-Number I-Number B-Food I-Food O O ,Order_Food
128, پیش بینی هوا شناسی  ابری است ,O O O O O O ,Get_Weather
129,میشه از  رستوران بیست برای  میان وعده  یه دونه  پیتزای مخلوط سفارش بدی ,O O B-Restaurant I-Restaurant O O O B-Number I-Number B-Food I-Food O O ,Order_Food
130,لطفا برای  شام  یه دونه  ماکارونی سفارش بده ,O O O B-Number I-Number B-Food O O ,Order_Food
131,لطفا  یه دونه  ماشین بگیر من رو ببره  تجریش ,O O O O O O O O B-Destination ,Catch_a_Cab
132,برای ناهار از  رستوران سیب  دو تا  پیتزای مخصوص سفارش بده ,O O O B-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
133,بهترین  موسیقی  شکیرا  رو پخش کن ,O O B-Artist O O O ,Play_Music
134, چیزی از  پرطرفدارترین آلبوم  جنیفر لوپز پخش کن ,O O O O B-Artist I-Artist O O ,Play_Music
135, یکشنبه آینده  یزد  هوا  چه طوری است ,B-Date I-Date B-Location O O O O ,Get_Weather
136,میتونی  قدیمی ترین  چیز  معین رو پخش کنی ,O O O O B-Artist O O O ,Play_Music
137,لطفا برای  شام یه  کباب برگ سفارش بده ,O O O B-Number B-Food I-Food O O ,Order_Food
138, دوشنبه بعد  درجه دما در  قاهره چند است ,B-Date I-Date O O O B-Location O O ,Get_Weather
139,برای  میان وعده از  نزدیک ترین رستوران  چهار تا  پیتزای مخلوط سفارش بده ,O O O O B-Restaurant I-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
140,من  یه دونه  موسیقی شاد میخوام ,O O O O O O ,Play_Music
141, هوا  ابری است ,O O O ,Get_Weather
142, یه دونه  ترانه  پرانرژی پخش کن ,O O O O O O ,Play_Music
143, چهار تا  کباب برگ سفارش بده ,B-Number I-Number B-Food I-Food O O ,Order_Food
144, پس فردا  هوا  چه جوری است ,B-Date I-Date O O O O ,Get_Weather
145, یکشنبه آینده  آفتابیه ,B-Date I-Date O ,Get_Weather
146,میخوام  یک  ترانه از  کیتی پری بشنوم ,O O O O B-Artist I-Artist O ,Play_Music
147, هوا  ابوظبی را به من بگو ,O B-Location O O O O ,Get_Weather
148,میتونی یه آهنگ از  گروه کویین پخش کنی ,O O O O B-Artist I-Artist O O ,Play_Music
149, موسیقی ای از  محبوب ترین آلبوم  گروه کویین پخش کن ,O O O O O O B-Artist I-Artist O O ,Play_Music
150, یکشنبه آینده  دمای در  دوحه  چقدر است ,B-Date I-Date O O B-Location O O ,Get_Weather
151, چهارشنبه آینده  منچستر آب و هوا  چه طوریه ,B-Date I-Date B-Location O O O O O ,Get_Weather
152, یه دونه  جوجه کباب از  سیب 360  چند میشه ,B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant O O ,Order_Food
153, کرایه اش  اسنپ از  محل کارم تا  هتل  چند ریال است ,O O O O B-Departure I-Departure O B-Destination O O O ,Catch_a_Cab
154,از  بازار موبایل تا  میدان وکیل  هزینه اش  چند ریاله ,O B-Departure I-Departure O B-Destination I-Destination O O O O ,Catch_a_Cab
155,یه  ترانه  زیبا از  یاس پخش کن ,O O O O B-Artist O O ,Play_Music
156, پرطرفدارترین آهنگ  سال 1398 را پخش کن ,O O O O O O O ,Play_Music
157,من  یک  ترانه شاد میخوام ,O O O O O ,Play_Music
158,میتونی برام  یه عدد  تپسی بگیری تا  ایران مال ,O O O O O O O B-Destination I-Destination ,Catch_a_Cab
159,من  یک آهنگ شاد از  مایکل جکسون میخوام گوش بدم ,O O O O O B-Artist I-Artist O O O ,Play_Music
160, یه دونه  ترانه  پرطرفدار از  فرزاد فرزین پخش کن ,O O O O O B-Artist I-Artist O O ,Play_Music
161, قدیمی ترین  چیز  مایلی سایرس رو بذار ,O O O B-Artist I-Artist O O ,Play_Music
162, یکشنبه آینده برفیه ,B-Date I-Date O ,Get_Weather
163, پیش بینی آب و هوا  ژوهانسبورگ  دوشنبه بعد  چه طوری است ,O O O O O B-Location B-Date I-Date O O O ,Get_Weather
164, پیش بینی وضع هوا  توکیو  همین الان  چه طوری است ,O O O O B-Location B-Date I-Date O O O ,Get_Weather
165,لطفا از  رستوران سیب برای  میان وعده یه  کباب برگ سفارش بده ,O O B-Restaurant I-Restaurant O O O B-Number B-Food I-Food O O ,Order_Food
166,برای ناهار از  نزدیک ترین کافه یه  کباب برگ سفارش بده ,O O O B-Restaurant I-Restaurant I-Restaurant B-Number B-Food I-Food O O ,Order_Food
167,لطفا  یه دونه  ترانه از  احسان خواجه امیری بذار ,O O O O O B-Artist I-Artist I-Artist O ,Play_Music
168,از  شاهچراغ تا  فرجام  هزینه اش  چند ریاله ,O B-Departure O B-Destination O O O O ,Catch_a_Cab
169,میتونی برای  میان وعده یه پیتزا سفارش بدی ,O O O O B-Number B-Food O O ,Order_Food
170,میتونی بگی آب و هوا  دوبی  جمعه بعد چطوره ,O O O O O B-Location B-Date I-Date O ,Get_Weather
171, چهارشنبه آینده در  واشنگتن  پیش بینی هوا شناسی چطوره ,B-Date I-Date O B-Location O O O O O ,Get_Weather
172, درجه دما  پسفردا در  اصفهان  چقدر است ,O O B-Date O B-Location O O ,Get_Weather
173,میشه از  رستوران ایتالیایی برای  میان وعده  چهار تا  چیزبرگر سفارش بدی ,O O B-Restaurant I-Restaurant O O O B-Number I-Number B-Food O O ,Order_Food
174, فردا  لندن  پیش بینی آب و هوا  چیه ,B-Date B-Location O O O O O O ,Get_Weather
175,لطفا از  نزدیک ترین کافه برای ناهار  یک عدد  پیتزای یونانی سفارش بده ,O O B-Restaurant I-Restaurant I-Restaurant O O B-Number I-Number B-Food I-Food O O ,Order_Food
176,آب و هوا  بارونیه ,O O O O ,Get_Weather
177, یک عدد  آژانس کرایه کن از  فرجام تا  هتل ,O O O O O O B-Departure O B-Destination ,Catch_a_Cab
178, پرفروش ترین آهنگ  احسان خواجه امیری رو بذار ,O O O B-Artist I-Artist I-Artist O O ,Play_Music
179,دیروز  هوا چطور بود ,B-Date O O O ,Get_Weather
180,میشه برام یه آهنگ از  مایلی سایرس پخش کنی ,O O O O O B-Artist I-Artist O O ,Play_Music
181,آب و هوا  تل آویو را به من بگو ,O O O B-Location I-Location O O O O ,Get_Weather
182,لطفا یه  ترانه از  مایکل جکسون بذار ,O O O O B-Artist I-Artist O ,Play_Music
183,لطفا برای  شام از  رستوران سیب  یه دونه  هات داگ سفارش بده ,O O O O B-Restaurant I-Restaurant B-Number I-Number B-Food I-Food O O ,Order_Food
184,میتونی برام  یک عدد  تپسی بگیری تا  خانه ,O O O O O O O B-Destination ,Catch_a_Cab
185,یه  جوجه کباب سفارش بده ,B-Number B-Food I-Food O O ,Order_Food
186,لطفا برای ناهار  یه دونه  چلوکباب سلطانی سفارش بده ,O O O B-Number I-Number B-Food I-Food O O ,Order_Food
187,بهترین  موسیقی  مایکل جکسون را پخش کن ,O O B-Artist I-Artist O O O ,Play_Music
188,از  فرودگاه امام تا  هتل اسپسناس  هزینه اش  چند میشه ,O B-Departure I-Departure O B-Destination I-Destination O O O O ,Catch_a_Cab
189,من  یک  ترانه  پرطرفدار میخوام ,O O O O O ,Play_Music
190, هوا  توکیو  ابری است ,O B-Location O O ,Get_Weather
191,میخوام برای ناهار  یه دونه  پیتزای سبزیجات از  نزدیک ترین رستوران سفارش بدم ,O O O B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant I-Restaurant O O ,Order_Food
192, یک عدد  تپسی میخوام که برم  پل حافظ ,O O O O O O B-Destination I-Destination ,Catch_a_Cab
193,لطفا آهنگی از  شماعی زاده پخش کن ,O O O B-Artist I-Artist O O ,Play_Music
194,میتونی  پرفروش ترین  چیز  استاد شجریان رو پخش کنی ,O O O O B-Artist I-Artist O O O ,Play_Music
195, دو تا  جوجه کباب سفارش بده ,B-Number I-Number B-Food I-Food O O ,Order_Food
196, اسنپ از  همین جا تا  شاهچراغ  چند است ,O O B-Departure I-Departure O B-Destination O O ,Catch_a_Cab
197,میتونی برای  میان وعده  دو تا پیتزا سفارش بدی ,O O O O B-Number I-Number B-Food O O ,Order_Food
198, هوا  کرمان را به من بگو ,O B-Location O O O O ,Get_Weather
199,من برای ناهار میخوام  یک عدد  ماکارونی بخورم از  رستوران سیب ,O O O O B-Number I-Number B-Food O O B-Restaurant I-Restaurant ,Order_Food
200, تپسی از  ایران مال تا  ایل گلی  چند تومان است ,O O B-Departure I-Departure O B-Destination I-Destination O O O ,Catch_a_Cab
201, شنبه بعد در  شانگهای  پیش بینی آب و هوا  چیه ,B-Date I-Date O B-Location O O O O O O ,Get_Weather
202,میشه یه آهنگ از  استاد شجریان بذاری ,O O O O B-Artist I-Artist O ,Play_Music
203,بهترین  موسیقی  شهرام ناظری را پخش کن ,O O B-Artist I-Artist O O O ,Play_Music
204,من  چهار تا  پیتزای مخصوص از  نزدیک ترین رستوران میخوام ,O B-Number I-Number B-Food I-Food O B-Restaurant I-Restaurant I-Restaurant O ,Order_Food
205,از  دانشگاه شریف تا  ایران مال  کرایه  چند ریال میشه ,O B-Departure I-Departure O B-Destination I-Destination O O O O ,Catch_a_Cab
206,لطفا از  نزدیک ترین کافه برای  شام  یک عدد  چلوکباب سفارش بده ,O O B-Restaurant I-Restaurant I-Restaurant O O B-Number I-Number B-Food O O ,Order_Food
207, غمگین ترین آهنگ  معین رو بذار ,O O O B-Artist O O ,Play_Music
208, شنبه قبل در  دوحه  پیش بینی آب و هوا  چی بود ,B-Date I-Date O B-Location O O O O O O O ,Get_Weather
209,لطفا از  نزدیک ترین کافه برای  شام یه  پیتزای پپرونی سفارش بده ,O O B-Restaurant I-Restaurant I-Restaurant O O B-Number B-Food I-Food O O ,Order_Food
210,من میخواهم به  یک  موسیقی از  مایلی سایرس گوش کنم ,O O O O O O B-Artist I-Artist O O ,Play_Music
211,میشه برام  یه دونه  چیز از  شهرام ناظری پخش کنی ,O O O O O O B-Artist I-Artist O O ,Play_Music
212,من برای ناهار میخوام  چهار تا  ماکارونی بخورم از  سیب 360 ,O O O O B-Number I-Number B-Food O O B-Restaurant I-Restaurant ,Order_Food
213, یه عدد  اسنپ میخوام تا من رو ببره  دانشگاه ,O O O O O O O O B-Destination ,Catch_a_Cab
214,من یه  چیز  آرام از  شکیرا  میخوام گوش بدم ,O O O O O B-Artist O O O ,Play_Music
215,لطفا برای  میان وعده از  اکبرجوجه  سه تا  همبرگر سفارش بده ,O O O O O B-Restaurant B-Number I-Number B-Food O O ,Order_Food
216, پیش بینی هوا شناسی  آتن  شنبه قبل  چگونه بود ,O O O O B-Location B-Date I-Date O O ,Get_Weather
217, درجه دما در  لندن  چقدر است ,O O O B-Location O O ,Get_Weather
218,لطفا برای ناهار  چهار تا  ساندویچ سرد سفارش بده ,O O O B-Number I-Number B-Food I-Food O O ,Order_Food
219, یه دونه  ماشین کرایه کن از  فرودگاه مهرآباد تا  دانشگاه امیرکبیر ,O O O O O O B-Departure I-Departure O B-Destination I-Destination ,Catch_a_Cab
220,من  یه دونه آهنگ  غمگین میخوام ,O O O O O O ,Play_Music
221,میخوام  یه دونه آهنگ  محبوب از  شکیرا  بشنوم ,O O O O O O B-Artist O ,Play_Music
222,یک  اسنپ خبر کن من رو ببره  مدرسه ,O O O O O O O B-Destination ,Catch_a_Cab
223, درجه هوا در  اصفهان چنده ,O O O B-Location O ,Get_Weather
224, یک آلبوم آهنگ  محبوب پخش کن ,O O O O O O ,Play_Music
225,میتونی  پرطرفدارترین آهنگ  جنیفر لوپز رو پخش کنی ,O O O B-Artist I-Artist O O O ,Play_Music
226, درجه دما دیروز در  بغداد چند بود ,O O B-Date O B-Location O O ,Get_Weather
227, برام  یک عدد  ماشین بگیر تا  ایل گلی ,O O O O O O B-Destination I-Destination ,Catch_a_Cab
228,لطفا برای  شام  سه تا  ماکارونی سفارش بده ,O O O B-Number I-Number B-Food O O ,Order_Food
229, پیش بینی آب و هوا  ابریه ,O O O O O O ,Get_Weather
230, یه دونه  موسیقی از  گروه کویین پخش کن ,O O O O B-Artist I-Artist O O ,Play_Music
231,لطفا  یک عدد  ماشین بگیر من رو ببره  سهروردی ,O O O O O O O O B-Destination ,Catch_a_Cab
232,بهترین  موسیقی  جنیفر لوپز رو بذار ,O O B-Artist I-Artist O O ,Play_Music
233,میتونی  شادترین  چیز  ابی رو پخش کنی ,O O O B-Artist O O O ,Play_Music
234,میشه  یک  چیز از داریوش بذاری ,O O O O B-Artist O ,Play_Music
235, یک آلبوم  موسیقی  زیبا پخش کن ,O O O O O O ,Play_Music
236, یک  ترانه  پرفروش از  کیتی پری پخش کن ,O O O O B-Artist I-Artist O O ,Play_Music
237,هزینه یه  پیتزای پپرونی از  نزدیک ترین رستوران چقدره ,O B-Number B-Food I-Food O B-Restaurant I-Restaurant I-Restaurant O ,Order_Food
238,لطفا  یک عدد  ماشین بگیر من رو ببره  تهرانپارس ,O O O O O O O O B-Destination ,Catch_a_Cab
239, یه دونه  ماشین خبر کن من رو ببره  فرجام ,O O O O O O O O B-Destination ,Catch_a_Cab
240,لطفا آهنگی از داریوش پخش کن ,O O O B-Artist O O ,Play_Music
